type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
single,S1,DE6800 的应用场合有哪些？,,开式系统,闭式系统,都可以,都不可以,,What are the application scenarios of DE6800?,Open systems,Closed systems,Both are applicable,Neither is applicable,,A,,
single,S2,DE6800Q 最多几台泵？,,3 台,4 台,5 台,7 台,,What is the maximum number of pumps in DE6800Q?,3 units,4 units,5 units,7 units,,C,,
single,S3,DE680Q 增压器中稳压罐的安装方式？,,相邻安装,撬块安装,屋顶安装,以上三种方式都可以,,What is the installation method of the pressure - stabilizing tank in the DE680Q supercharger?,Adjacent installation,Skid - mounted installation,Roof - mounted installation,All of the above three methods are available,,D,,
single,S4,DE6800Q 水泵是哪种类型？,,立式多级泵,DE 变频泵,卧式泵,污水泵,,What type of pump is the DE6800Q water pump?,Vertical multi - stage pump,DE variable - frequency pump,Horizontal pump,Sewage pump,,A,,
single,S5,DE6800Q 主要作用？,,满足上层生活用水需求,满足空调系统压力需求,满足闭式系统补水需求,以上都是,,What is the main function of DE6800Q?,Meet the domestic water demand of upper floors,Meet the pressure requirements of air - conditioning systems,Meet the make - up water demand of closed systems,All of the above,,A,,
single,S6,在变速增压供水机组套件上，减压阀不应放置在哪里？,,增压器入口,增压器出口,水泵入口,水泵出口,,"On a variable - speed pressurized water supply unit kit, where should the pressure - reducing valve not be placed?",At the inlet of the supercharger,At the outlet of the supercharger,At the inlet of the water pump,At the outlet of the water pump,,B,,
single,S7,DE6800Q 增压机组相比竞品，占地面积可节省（ ）。,,5 - 10%,10 - 25%,20 - 30%,30 - 40%,,"Compared with competing products, how much floor area can the DE6800Q pressurized unit save?",5 - 10%,10 - 25%,20 - 30%,30 - 40%,,B,,
single,S8,艾蒙斯特朗 DE 智能变频增压系统集成了（ ）。,,泵送组件和普通控制器,泵送组件和先进的控制器,换热组件和先进的控制器,换热组件和普通控制器,,The Armstrong DE intelligent variable - frequency pressurization system integrates ( ),Pumping components and ordinary controllers,Pumping components and advanced controllers,Heat - exchange components and advanced controllers,Heat - exchange components and ordinary controllers,,B,,
single,S9,DE6800Q 增压机组流量最大可达（ ）。,,170L/s,280L/s,170m³/h,280m³/h,,What is the maximum flow rate of the DE6800Q pressurized unit?,170L/s,280L/s,170m³/h,280m³/h,,A,,
single,S10,DEPM 6800Q 增压机组的总功率最大为（ ）。,,55kW,55W,225kW,225W,,What is the maximum total power of the DEPM 6800Q pressurized unit?,55kW,55W,225kW,225W,,A,,
single,S11,DE6800Q 增压机组中，能维持管道系统压力并提供少量需求，允许泵停机的部件是（ ）。,,稳压罐,变频器,出口多功能阀,入口隔离阀,,"In the DE6800Q pressurized unit, which component can maintain the pressure of the pipeline system, meet a small amount of demand, and allow the pump to stop?",Pressure - stabilizing tank,Frequency converter,Outlet multi - function valve,Inlet isolation valve,,A,,
single,S12,与感应电机 + 集成 VFD 相比，DEPM 电机能耗降低（ ）。,,10%,15%,20%,25%,,"Compared with an induction motor + integrated VFD, how much does the energy consumption of the DEPM motor decrease?",10%,15%,20%,25%,,B,,
single,S13,DE6800Q 增压机组的控制面板外壳等级是（ ）。,,IP54,IP55,IP65,IP66,,What is the enclosure rating of the control panel of the DE6800Q pressurized unit?,IP54,IP55,IP65,IP66,,A,,
single,S14,DE6800Q 增压机组显示屏尺寸（ ）。,,4.3 英寸,5 英寸,5.5 英寸,10 英寸,,What is the display screen size of the DE6800Q pressurized unit?,4.3 inches,5 inches,5.5 inches,10 inches,,A,,
single,S15,DE6800Q 增压机组流量分析不提供以下哪种数据（ ）。,,总流量,最大流量,当前流量,数据图表,,Which of the following data is not provided by the flow analysis of the DE6800Q pressurized unit?,Total flow rate,Maximum flow rate,Current flow rate,Data chart,,A,,
single,S16,DE6800Q 增压机组相比恒速设备，能源成本可降低（ ）。,,40 - 60%,60 - 80%,50 - 70%,70 - 90%,,"Compared with constant - speed equipment, how much can the energy cost of the DE6800Q pressurized unit be reduced?",40 - 60%,60 - 80%,50 - 70%,70 - 90%,,A,,
