type,id,question_zh,image_url,A,B,C,D,question_en,A_EN,B_EN,C_EN,D_EN,answer,comments_zh,comments_EN
single,S1,DE 4300 2537 - 90，其中 “4300” 指的是？,,产品型号,进出口直径,叶轮名义直径,电机功率,"In ""DE 4300 2537 - 90"", what does ""4300"" refer to?",Product model,Inlet and outlet diameter,Nominal impeller diameter,Motor power,A,“4300”指的是产品型号，为立式管道泵,"""4300"" refers to the product model, which is a vertical in - line pump."
single,S2,DE 4300 2537 - 90，其中 “25” 指的是？,,产品型号,进出口直径,叶轮名义直径,电机功率,"In ""DE 4300 2537 - 90"", what does ""25"" refer to?",Product model,Inlet and outlet diameter,Nominal impeller diameter,Motor power,B,“25”指的是进出口直径，为 250mm,"""25"" refers to the inlet and outlet diameter, which is 250mm."
single,S3,DE 4300 2537 - 90，其中 “37” 指的是？,,产品型号,进出口直径,叶轮名义直径,电机功率,"In ""DE 4300 2537 - 90"", what does ""37"" refer to?",Product model,Inlet and outlet diameter,Nominal impeller diameter,Motor power,C,"""37""指的是叶轮名义直径，为370mm","""37"" refers to the nominal impeller diameter, which is 370mm."
single,S4,DE 4300 2537 - 90，其中 “90” 指的是？,,产品型号,进出口直径,叶轮名义直径,电机功率,"In ""DE 4300 2537 - 90"", what does ""90"" refer to?",Product model,Inlet and outlet diameter,Nominal impeller diameter,Motor power,D,“90”指的是水泵配套电机功率，为90kW,"""90"" represents the power of the motor that is paired with the water pump, and its value is 90 kilowatts."
single,S5,DE 4300 2537 - 90，叶轮材质是？,,铸铁,碳钢,青铜,不锈钢,"For ""DE 4300 2537 - 90"", what is the impeller material?",Cast iron,Carbon steel,Bronze,Stainless steel,C,普通DE泵叶轮为青铜材质,The impeller of a common DE pump is made of bronze.
single,S6,DE 4300 2537 - 90，泵壳材质是？,,铸铁,碳钢,青铜,不锈钢,"For ""DE 4300 2537 - 90"", what is the pump casing material?",Cast iron,Carbon steel,Bronze,Stainless steel,A,DE泵标配铸铁壳体，承压为PN16,"DE pumps are standard - equipped with a cast - iron casing, with a pressure rating of PN16."
single,S7,DE 4300 2537 - 90，泵轴材质是？,,铸铁,碳钢,青铜,不锈钢,"For ""DE 4300 2537 - 90"", what is the pump shaft material?",Cast iron,Carbon steel,Bronze,Stainless steel,D,DE泵采用不锈钢泵轴,DE pumps use a stainless - steel pump shaft.
single,S8,DE 4300 是？,,智能立式变频泵,智能端吸变频泵,智能变频双头泵,Tango 智能变频泵,What is DE 4300?,Intelligent vertical variable-frequency pump,Intelligent end-suction variable-frequency pump,Intelligent variable-frequency double-ended pump,Tango intelligent variable-frequency pump,A,"A选项为DE4300,B选项为DE4200H,C选项为DE4312,D为DE4322","Option A is DE4300, Option B is DE4200H, Option C is DE4312, and Option D is DE4322."
single,S9,DE 4200H 是？,,智能立式变频泵,智能端吸变频泵,智能变频双头泵,Tango 智能变频泵,What is DE 4200H?,Intelligent vertical variable-frequency pump,Intelligent end-suction variable-frequency pump,Intelligent variable-frequency double-ended pump,Tango intelligent variable-frequency pump,B,"A选项为DE4300,B选项为DE4200H,C选项为DE4312,D为DE4322","Option A is DE4300, Option B is DE4200H, Option C is DE4312, and Option D is DE4322."
single,S10,DE 4312 是？,,智能立式变频泵,智能端吸变频泵,智能变频双头泵,Tango 智能变频泵,What is DE 4312?,Intelligent vertical variable-frequency pump,Intelligent end-suction variable-frequency pump,Intelligent variable-frequency double-ended pump,Tango intelligent variable-frequency pump,C,"A选项为DE4300,B选项为DE4200H,C选项为DE4312,D为DE4322","Option A is DE4300, Option B is DE4200H, Option C is DE4312, and Option D is DE4322."
single,S11,Armstrong 的 DE 泵变频器内置双直流电抗器，可以抑制谐波，其谐波可以控制在（）,,5% 及其以内,10% 及其以内,40% 及其以内,60% 及其以内,The inverter of Armstrong's DE pump is equipped with double DC reactors to suppress harmonics. What is the maximum harmonic level it can control?,Within 5%,Within 10%,Within 40%,Within 60%,C,Armstrong DE 泵变频器内置的双直流电抗器谐波抑制可以控制在40%及以内,The harmonic suppression of the double DC reactors built into the inverter of Armstrong DE pumps can be controlled within 40%.
single,S12,Armstrong 的 DE 泵可实时显示流量和扬程，其流量显示的精度为（）,,1%,2%,5%,10%,Armstrong's DE pump can display flow rate and head in real - time. What is the accuracy of its flow rate display?,1%,2%,5%,10%,C,Armstrong 的 DE 泵可实时显示流量和扬程，其流量显示的精度为5%,"Armstrong's DE pumps can display the flow rate and head in real - time, and the accuracy of its flow rate display is 5%."
single,S13,不需要任何外部控制器，Armstrong DE 智能变频泵，最多可以实现（ ）台泵的并联无传感器运行。,,2 台,4 台,6 台,8 台,"Without any external controller, how many Armstrong DE intelligent variable - frequency pumps can operate in parallel without sensors at most?",2 units,4 units,6 units,8 units,B,不需要任何外部控制器，Armstrong DE 智能变频泵，最多可以实现4台泵的并联无传感器运行。,"Without any external controller, Armstrong DE intelligent variable - frequency pumps can achieve sensorless parallel operation of up to 4 pumps."
single,S14,ASHRAE90.1 - 2010 中，对暖通空调中变频泵的节能要求是，流量减少一半，功耗至少减少（ ）,,30%,50%,70%,90%,"According to ASHRAE90.1 - 2010, for variable - frequency pumps in HVAC systems, when the flow rate is reduced by half, the power consumption should be reduced by at least ( )",30%,50%,70%,90%,C,ASHRAE90.1 - 2010 中，对暖通空调中变频泵的节能要求是，流量减少一半，功耗至少减少70%,"According to ASHRAE90.1 - 2010, for variable - frequency pumps in HVAC systems, when the flow rate is reduced by half, the power consumption should be reduced by at least 70%."
