type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
single,S1,SE - A 系列产品的设计用途是什么？,,实现水冷式一次变流量冷冻机房的自动控制,实现风冷式一次变流量冷冻机房的自动控制,控制风冷式二次变流量冷冻机房,仅控制风冷式冷冻机的启停,,What is the design purpose of the SE - A series products?,Achieve automatic control of water - cooled primary variable - flow chiller plants,Achieve automatic control of air - cooled primary variable - flow chiller plants,Control air - cooled secondary variable - flow chiller plants,Only control the start/stop of air - cooled chillers,,B,,
single,S2,SE - A 系列控制器控制的等大水泵数量（含备用泵）最多为多少台？,,3 台,4 台,5 台,6 台,,What is the maximum number of equal - sized water pumps (including standby pumps) that the SE - A series controller can control?,3 units,4 units,5 units,6 units,,C,,
single,S3,SE - A 系列产品在控制冷冻机时，不会考虑以下哪种因素来计算工作冷冻机的最佳台数？,,机房负荷,冷冻水温度设定值的差异,冷却塔的水温,冷冻机电气负荷,,"When the SE - A series products control the chillers, which of the following factors is not considered to calculate the optimal number of operating chillers?",Plant load,Difference in chilled water temperature setpoints,Water temperature of the cooling tower,Electrical load of the chiller,,C,,
single,S4,SE - A 系列产品中，与隔离阀接口相关的操作不包括以下哪项？,,利用数字输出打开和关闭阀门,利用数字输入获得阀门启 / 闭状态反馈,自动调节隔离阀的流量大小,根据控制逻辑控制隔离阀的动作,,Which of the following operations is not related to the isolation valve interface in the SE - A series products?,Open and close the valve using digital output,Obtain the valve open/closed status feedback using digital input,Automatically adjust the flow rate of the isolation valve,Control the action of the isolation valve according to the control logic,,C,,
single,S5,SE - A 系列控制器在变流量一次泵控制中，若选用 Armstrong DE 泵，泵的启 / 闭控制依据是什么？,,随机启动,根据各泵的最佳效率点计算出最高效的工作泵组合,按照时间顺序依次启动,一台工作冷冻机配一台泵的固定模式,,"In the variable - flow primary pump control of the SE - A series controller, if the Armstrong DE pump is selected, what is the basis for controlling the start/stop of the pump?",Random start,Calculate the most efficient combination of operating pumps based on the best efficiency points of each pump,Start in sequence according to time,A fixed mode of one operating chiller with one pump,,B,,
single,S6,SE - A 系列控制器在调节旁通阀时的主要目的是什么？,,维持最高流量水平,维持最低流量水平,调节流量使其保持恒定,根据温度变化调节流量,,What is the main purpose of the SE - A series controller when adjusting the bypass valve?,Maintain the highest flow level,Maintain the lowest flow level,Adjust the flow rate to keep it constant,Adjust the flow rate according to temperature changes,,B,,
single,S7,SE - A 系列产品的主要控制逻辑中，不包括以下哪项？,,基于需求大小控制冷冻机台数,仅根据时间控制水泵转速,对区域信号实施持续监控,调节旁通阀维持流量,,Which of the following is not included in the main control logic of the SE - A series products?,Control the number of chillers based on demand,Control the pump speed only according to time,Continuously monitor regional signals,Adjust the bypass valve to maintain the flow rate,,B,,
single,S8,SE - A 系列产品在控制冷冻机顺序时，以下哪个不是考虑因素？,,机房负荷,冷冻机高流量状态,户外温度传感器数据,冷冻机的颜色,,"When the SE - A series products control the chiller sequence, which of the following is not a consideration?",Plant load,High - flow state of the chiller,Data from outdoor temperature sensors,Color of the chiller,,D,,
single,S9,SE - A 系列产品在控制变流量一次泵的泵速时，在配有区域传感器的条件下，依据什么信号决定泵的工作转速？,,仅区域温度传感器信号,仅区域差压传感器信号,区域差压传感器或区域温度传感器的信号,机房总压力传感器信号,,"When the SE - A series products control the pump speed of variable - flow primary pumps and are equipped with regional sensors, what signal is used to determine the operating speed of the pump?",Only the signal from the regional temperature sensor,Only the signal from the regional differential pressure sensor,The signal from the regional differential pressure sensor or the regional temperature sensor,The signal from the total pressure sensor in the plant,,C,,
single,S10,SE - A 系列产品适用于以下哪种系统？,,仅舒适制冷系统,仅工艺制冷系统,舒适或者工艺制冷系统,制热系统,,Which of the following systems is the SE - A series products applicable to?,Only comfort cooling systems,Only process cooling systems,Comfort or process cooling systems,Heating systems,,C,,
single,S11,SE - A 系列产品在控制冷冻机流量时，通过什么方式将其维持在设定范围内？,,仅调节泵的启停,仅调节泵速,调节泵的启停和泵速,手动调节流量阀门,,How does the SE - A series products maintain the chiller flow rate within the set range?,Only adjust the start/stop of the pump,Only adjust the pump speed,Adjust the start/stop and speed of the pump,Manually adjust the flow valve,,C,,
single,S12,SE - A 系列产品在控制冷冻机房设备时，对于不同品牌的冷冻机如何进行通信控制？,,无法通信,通过预先列出的 Modbus/BACnet/Lonworks 协议映射实现通信,只能使用特定品牌的协议,手动设置通信参数,,"When the SE - A series products control the equipment in the chiller plant, how do they communicate and control chillers of different brands?",Cannot communicate,Achieve communication through pre - listed Modbus/BACnet/Lonworks protocol mapping,Can only use the protocols of specific brands,Manually set communication parameters,,B,,
single,S13,SE - A 系列产品相比传统产品，在节能方面的优势主要体现在哪里？,,采用新型的制冷技术,优化控制逻辑，降低设备运行能耗,减少设备数量,增加设备功率,,"Compared with traditional products, where does the energy - saving advantage of the SE - A series products mainly lie?",Adopt new refrigeration technology,Optimize the control logic to reduce equipment operation energy consumption,Reduce the number of devices,Increase the equipment power,,B,,
single,S14,SE - A 系列产品在安装阶段的优势不包括以下哪项？,,低风险安装,避免启动延迟,增加安装成本,减少现场安装时间,,Which of the following is not an advantage of the SE - A series products during the installation stage?,Low - risk installation,Avoid start - up delay,Increase installation costs,Reduce on - site installation time,,C,,
single,S15,SE - A 系列产品在运维阶段，相对于手动控制机房，能降低多少运营风险？,,10% - 20%,15% - 30%,30% - 40%,40% - 60%,,"During the operation and maintenance stage, compared with manually controlled chiller plants, how much can the SE - A series products reduce the operation risk?",10% - 20%,15% - 30%,30% - 40%,40% - 60%,,B,,
single,S16,SE - A 系列产品在现有可变一次流量冷冻机房中，安装后的投资回报期通常是多久？,,不到 1 年,1 - 2 年,2 - 3 年,3 - 5 年,,"In the existing variable primary - flow chiller plants, what is the typical payback period of the SE - A series products after installation?",Less than 1 year,1 - 2 years,2 - 3 years,3 - 5 years,,B,,
