type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
single,S1,ITC9521 是一种（ ）控制系统。,,冷冻水一次泵,冷冻水二次泵,冷却侧集成,热水供应,,What kind of control system is ITC9521?,Primary chilled water pump,Secondary chilled water pump,Integrated cooling side,Hot water supply,,C,,
single,S2,ITC9521 冷却系统通常包含以下哪些设备？,,仅冷却塔,冷却塔、DE 泵、电动调节阀等,仅冷冻机,仅水泵,,What equipment does the ITC9521 cooling system usually include?,Only cooling towers,"Cooling towers, DE pumps, electric control valves, etc.",Only chillers,Only water pumps,,B,,
single,S3,ITC9521 系统中，冷却塔和水泵的连接方式通常是（ ）。,,串联,并联,随意连接,部分串联部分并联,,What is the common connection method between cooling towers and water pumps in the ITC9521 system?,Series connection,Parallel connection,Random connection,Partially series - connected and partially parallel - connected,,B,,
single,S4,ITC9521 系统中，水泵采用的控制技术是（ ）。,,仅传感器控制,仅压力控制,并联无传感器算法（二次曲线控制）,流量比例控制,,What control technology is used for water pumps in the ITC9521 system?,Only sensor - based control,Only pressure - based control,Parallel sensorless algorithm (quadratic curve control),Flow - proportional control,,C,,
single,S5,ITC9521 系统中，冷却塔的控制频率依据是（ ）。,,仅时间,LTWT 温度控制,水泵转速,室外温度,,What is the basis for controlling the frequency of cooling towers in the ITC9521 system?,Only time,LTWT temperature control,Water pump speed,Outdoor temperature,,B,,
single,S6,ITC9521 系统中，最多可连接多少台冷却塔？,,3 台,4 台,5 台,6 台,,How many cooling towers can be connected at most in the ITC9521 system?,3 units,4 units,5 units,6 units,,C,,
single,S7,ITC9521 系统中，最多可连接多少台水泵？,,3 台,4 台,5 台,6 台,,How many water pumps can be connected at most in the ITC9521 system?,3 units,4 units,5 units,6 units,,C,,
single,S8,ITC9521 系统中，标准版的水泵和冷却塔必须满足的条件是（ ）。,,等大且 Headered (集管连接),不等大且 Headered (集管连接),等大且非 Headered (集管连接),不等大且非 Headered (集管连接),,What conditions must the standard - version water pumps and cooling towers in the ITC9521 system meet?,Equal - sized and Headered (manifold - connected),Unequal - sized and Headered (manifold - connected),Equal - sized and non - Headered (manifold - connected),Unequal - sized and non - Headered (manifold - connected),,A,,
single,S9,ITC9521 系统中，冷却水泵的台数是基于什么逻辑运行的？,,时间逻辑,BEP 逻辑,温度逻辑,压力逻辑,,Based on what logic does the number of cooling water pumps operate in the ITC9521 system?,Time - based logic,BEP - based logic,Temperature - based logic,Pressure - based logic,,B,,
single,S10,ITC9521 系统中，冷却塔的台数是基于什么控制的？,,时间控制,基于冷却塔最小允许流量控制,温度控制,压力控制,,Based on what is the number of cooling towers controlled in the ITC9521 system?,Time - based control,Based on the minimum allowable flow of cooling towers,Temperature - based control,Pressure - based control,,B,,
single,S11,ITC9521 适用于以下哪些场景？,,仅数据中心,仅汽车工厂,数据中心、汽车工厂、热泵等多种工业冷却过程,仅居民住宅供暖,,Which scenarios is the ITC9521 applicable to?,Only data centers,Only automotive factories,"Multiple industrial cooling processes such as data centers, automotive factories, and heat pumps",Only residential heating,,C,,
single,S12,在 ITC9521 系统中，当冷却塔出水温度降至离塔最低温度设定值以下时，哪个阀门会起作用？,,塔侧旁通阀,负荷侧旁通阀,末端侧旁通阀,所有旁通阀,,"In the ITC9521 system, when the outlet water temperature of the cooling tower drops below the minimum set temperature of the tower, which valve comes into play?",Tower - side bypass valve,Load - side bypass valve,End - side bypass valve,All bypass valves,,A,,
single,S13,ITC9521 与传统控制方式在冷却塔台数控制上的区别是（ ）。,,ITC9521 按时间控制，传统方式按需控制,ITC9521 按需控制，传统方式与冷机台数匹配 + 基于转速的加减载逻辑,两者都是按需控制,两者都是与冷机台数匹配 + 基于转速的加减载逻辑,,What is the difference between the ITC9521 and traditional control methods in controlling the number of cooling towers?,"The ITC9521 controls by time, while the traditional method controls on - demand","The ITC9521 controls on - demand, while the traditional method matches the number of chillers and uses a speed - based load - increase and load - decrease logic",Both control on - demand,Both match the number of chillers and use a speed - based load - increase and load - decrease logic,,B,,
single,S14,ITC9521 与传统控制方式在冷却泵台数控制上的区别是（ ）。,,ITC9521 按时间控制，传统方式按需控制,ITC9521 基于 BEP 逻辑运行台数，传统方式与冷机台数匹配 + 基于转速的加减载逻辑,两者都是按需控制,两者都是与冷机台数匹配 + 基于转速的加减载逻辑,,What is the difference between the ITC9521 and traditional control methods in controlling the number of cooling water pumps?,"The ITC9521 controls by time, while the traditional method controls on - demand","The ITC9521 operates the number of pumps based on the BEP logic, while the traditional method matches the number of chillers and uses a speed - based load - increase and load - decrease logic",Both control on - demand,Both match the number of chillers and use a speed - based load - increase and load - decrease logic,,B,,
single,S15,ITC9521 系统在南方地区或冬天不开冷塔的地区，对于哪种旁通阀可能不需要？,,末端侧旁通阀,负荷侧旁通阀,塔侧旁通阀,都需要,,"In southern regions or regions where cooling towers are not used in winter in the ITC9521 system, which bypass valve may not be needed?",End - side bypass valve,Load - side bypass valve,Tower - side bypass valve,All are needed,,C,,
single,S16,ITC9521 系统中，工艺冷却水是否一定需要塔侧旁通阀？,,一定需要,一定不需要,不一定，根据具体情况,文中未提及,,Is a tower - side bypass valve definitely required for process cooling water in the ITC9521 system?,Definitely required,Definitely not required,"Not necessarily, depending on the specific situation",Not mentioned in the text,,C,,
single,S17,ITC9521 系统中，旁通阀的控制在传统控制方式和 ITC9521 控制方式下的主要区别是（ ）。,,传统方式基于传感器控制，ITC9521 基于设定值控制,传统方式基于设定值控制，ITC9521 基于传感器控制,传统方式控制逻辑复杂，ITC9521 控制更快速有效,传统方式控制更快速有效，ITC9521 控制逻辑复杂,,What is the main difference in the control of bypass valves between the traditional control method and the ITC9521 control method in the ITC9521 system?,"The traditional method is based on sensor control, while the ITC9521 is based on set - point control","The traditional method is based on set - point control, while the ITC9521 is based on sensor control","The traditional control logic is complex, while the ITC9521 control is faster and more effective","The traditional control is faster and more effective, while the ITC9521 control logic is complex",,C,,
