type,id,question_zh,image_url,A,B,C,D,question_en,A_EN,B_EN,C_EN,D_EN,answer,comments_zh,comments_EN
single,S1,什么类型的泵可以用在 IFMS 上？,,DE4300,DE4200H,4300,4030,What type of pump can be used in IFMS?,DE4300,DE4200H,4300,4030,A,IFMS采用DE4300型号水泵,IFMS uses DE4300 model water pumps.
single,S2,IFMS 与现场或其他非现场集成泵站解决方案相比优势？,,采用集成的 DE 技术,基于云的主动性能管理,基于效率的并联泵优化技术,以上都是,What are the advantages of IFMS compared with on - site or other off - site integrated pump station solutions?,Adopt integrated DE technology,Cloud - based active performance management,Efficiency - based parallel pump optimization technology,All of the above,D,IFMS与现场或其他非现场集成泵站解决方案相比优势在于采用集成的 DE 技术，基于云的主动性能管理，基于效率的并联泵优化技术。,"Compared with on - site or other off - site integrated pumping station solutions, the advantages of IFMS lie in its integrated DE technology, cloud - based active performance management, and efficiency - based parallel pump optimization technology."
single,S3,标准 IFMS 最大可配置泵台数？,,3 台,4 台,5 台,8 台,What is the maximum number of pumps that can be configured in a standard IFMS?,3 units,4 units,5 units,8 units,C,标准IFMS最大可配置5台泵。,The standard IFMS can be configured with a maximum of 5 pumps.
single,S4,IFMS 控制方式有哪些？,,无传感器控制,压力传感器控制,BA 控制,以上选项都是,What are the control methods of IFMS?,Sensorless control,Pressure sensor control,BA control,All of the above options,D,IFMS可采用无传感器控制，压力传感器控制，BA控制方式。,"IFMS can adopt sensor - less control, pressure sensor control, and BA control methods."
single,S5,IFMS 触摸屏防护等级为？,,IP65,IP55,IP66,IP54,What is the protection level of the IFMS touch screen?,IP65,IP55,IP66,IP54,D,IFMS触摸屏防护等级为IP54，能有效防止灰尘大量侵入，防止因灰尘进入造成短路、磨损等故障，延长设备使用寿命。可防护来自任何方向的溅水，减少因水侵入引发的短路、漏电等安全隐患，保障设备的可靠性和稳定性。,"The touch - screen of IFMS has an IP54 protection rating. It can effectively prevent a large amount of dust from invading, avoid failures such as short - circuits and wear caused by dust entry, and extend the service life of the equipment. It can protect against splashing water from any direction, reduce potential safety hazards such as short - circuits and electric leakage caused by water intrusion, and ensure the reliability and stability of the equipment."
single,S6,框架螺栓连接、散件运输、现场组装的 iFMS 适用于哪种项目类型？,,新建项目,吊装空间足够的改造项目,吊装空间不够的改造项目,所有项目类型,"For an iFMS with a bolt - connected frame, shipped in parts and assembled on - site, which project type is it suitable for?",New construction projects,Renovation projects with sufficient hoisting space,Renovation projects with insufficient hoisting space,All project types,C,IFMS适用于吊装空间不够的改造项目，在吊装空间受限的情况下，现场大型吊装设备施展不开，难以吊运大型设备和大量零部件进行组装。IFMS只需进行整体就位安装，减少了对吊装空间的需求，降低了安装难度。,"IFMS is suitable for renovation projects with limited lifting space. When the lifting space is restricted, large - scale lifting equipment on - site cannot operate effectively, making it difficult to lift and assemble large - scale equipment and a large number of components. IFMS only requires overall positioning and installation, reducing the demand for lifting space and lowering the installation difficulty."
single,S7,IFMS 集成撬块中泵的运行台数控制是基于（ ）,,效率,负载,冷机台数,都不是,The control of the number of operating pumps in the IFMS integrated skid is based on ( ),Efficiency,Load,Number of chillers,None of the above,A,IFMS 集成撬块中泵的运行台数控制是基于效率。,The control of the number of operating pumps in the IFMS integrated skid is based on efficiency.
single,S8,IFMS 标准配置清单不包含哪个？,,DE 变频水泵,谐波滤波器,压力表,SG&FTV,Which of the following is not included in the standard configuration list of IFMS?,DE variable - frequency water pump,Harmonic filter,Pressure gauge,SG&FTV,B,IFMS标准配置清单不包括谐波滤波器，DE泵内含双直流电抗器，可抑制谐波。,"The standard configuration list of IFMS does not include harmonic filters. The DE pump is equipped with dual DC reactors, which can suppress harmonics."
single,S9,IFMS 是一种什么类型的解决方案？,,部分变频的流体管理解决方案,全变频的流体管理解决方案,固定频率的流体管理解决方案,半变频的流体管理解决方案,What kind of solution is IFMS?,A partially variable - frequency fluid management solution,A fully variable - frequency fluid management solution,A fixed - frequency fluid management solution,A semi - variable - frequency fluid management solution,B,iFMS智能流体管理系统适用于冷冻水与热水系统，是一种预制的全变频泵站，为新建楼宇或改造项目提升附加值。,The iFMS Intelligent Fluid Management System is applicable to chilled water and hot water systems. It is a pre - fabricated fully variable - frequency pumping station that adds value to new buildings or renovation projects.
single,S10,DE 智能流体管理系统（DE iFMS）属于什么类型的产品？,,现场集成泵站解决方案,非现场集成泵站解决方案,预制变频泵站解决方案,传统泵站解决方案,What type of product does the DE Intelligent Fluid Management System (DE iFMS) belong to?,On - site integrated pump station solution,Off - site integrated pump station solution,Prefabricated variable - frequency pump station solution,Traditional pump station solution,C,iFMS智能流体管理系统适用于冷冻水与热水系统，是一种预制的全变频泵站，为新建楼宇或改造项目提升附加值。,The iFMS Intelligent Fluid Management System is applicable to chilled water and hot water systems. It is a pre - fabricated fully variable - frequency pumping station that adds value to new buildings or renovation projects.
